CASE ID,CIGAGE,FIRSTCIGTRY,STATISTICS
1,20,16,LOWRISK
2,999,16,LOWRISK
3,991,991,HIGHRISK
4,991,991,HIGHRISK
5,991,991,HIGHRISK
6,991,991,HIGHRISK
7,991,991,HIGHRISK
8,991,991,HIGHRISK
9,991,991,HIGHRISK
10,991,991,HIGHRISK
11,991,991,HIGHRISK
12,991,991,HIGHRISK
13,999,12,LOWRISK
14,17,13,LOWRISK
15,991,991,HIGHRISK
16,999,13,LOWRISK
17,994,994,HIGHRISK
18,18,15,LOWRISK
19,32,19,LOWRISK
20,991,991,HIGHRISK
21,991,991,HIGHRISK
22,17,14,LOWRISK
23,991,991,HIGHRISK
24,994,994,HIGHRISK
25,991,991,HIGHRISK
26,991,991,HIGHRISK
27,991,991,HIGHRISK
28,16,16,HIGHRISK
29,991,991,HIGHRISK
30,991,991,HIGHRISK
31,991,991,HIGHRISK
32,991,991,HIGHRISK
33,991,991,HIGHRISK
34,18,15,LOWRISK
35,991,991,HIGHRISK
36,991,991,HIGHRISK
37,15,15,HIGHRISK
38,999,21,LOWRISK
39,991,991,HIGHRISK
40,991,991,HIGHRISK
41,999,15,LOWRISK
42,991,991,HIGHRISK
43,22,15,LOWRISK
44,18,17,LOWRISK
45,15,15,HIGHRISK
46,999,15,LOWRISK
47,999,15,LOWRISK
48,991,991,HIGHRISK
49,991,991,HIGHRISK
50,16,16,HIGHRISK
51,12,9,LOWRISK
52,999,17,LOWRISK
53,991,991,HIGHRISK
54,991,991,HIGHRISK
55,991,991,HIGHRISK
56,999,10,LOWRISK
57,999,18,LOWRISK
58,16,16,HIGHRISK
59,991,991,HIGHRISK
60,991,991,HIGHRISK
61,991,991,HIGHRISK
62,991,991,HIGHRISK
63,999,13,LOWRISK
64,991,991,HIGHRISK
65,991,991,HIGHRISK
66,991,991,HIGHRISK
67,999,15,LOWRISK
68,999,17,LOWRISK
69,15,13,LOWRISK
70,991,991,HIGHRISK
71,999,18,LOWRISK
72,991,991,HIGHRISK
73,999,22,LOWRISK
74,991,991,HIGHRISK
75,991,991,HIGHRISK
76,16,15,LOWRISK
77,991,991,HIGHRISK
78,20,19,LOWRISK
79,19,16,LOWRISK
80,991,991,HIGHRISK
81,991,991,HIGHRISK
82,999,15,LOWRISK
83,999,985,LOWRISK
84,991,991,HIGHRISK
85,991,991,HIGHRISK
86,18,14,LOWRISK
87,991,991,HIGHRISK
88,991,991,HIGHRISK
89,999,15,LOWRISK
90,21,17,LOWRISK
91,991,991,HIGHRISK
92,999,16,LOWRISK
93,991,991,HIGHRISK
94,991,991,HIGHRISK
95,19,19,HIGHRISK
96,991,991,HIGHRISK
97,18,13,LOWRISK
98,991,991,HIGHRISK
99,991,991,HIGHRISK
100,999,18,LOWRISK
101,16,14,LOWRISK
102,991,991,HIGHRISK
103,991,991,HIGHRISK
104,999,15,LOWRISK
105,18,16,LOWRISK
106,17,17,HIGHRISK
107,991,991,HIGHRISK
108,991,991,HIGHRISK
109,991,991,HIGHRISK
110,991,991,HIGHRISK
111,991,991,HIGHRISK
112,999,22,LOWRISK
113,20,15,LOWRISK
114,17,15,LOWRISK
115,991,991,HIGHRISK
116,991,991,HIGHRISK
117,991,991,HIGHRISK
118,18,17,LOWRISK
119,18,18,HIGHRISK
120,19,19,HIGHRISK
121,999,16,LOWRISK
122,999,17,LOWRISK
123,991,991,HIGHRISK
124,991,991,HIGHRISK
125,991,991,HIGHRISK
126,18,18,HIGHRISK
127,999,18,LOWRISK
128,999,20,LOWRISK
129,999,22,LOWRISK
130,40,12,LOWRISK
131,991,991,HIGHRISK
132,991,991,HIGHRISK
133,991,991,HIGHRISK
134,991,991,HIGHRISK
135,991,991,HIGHRISK
136,991,991,HIGHRISK
137,14,13,LOWRISK
138,991,991,HIGHRISK
139,15,13,LOWRISK
140,16,14,LOWRISK
141,991,991,HIGHRISK
142,17,12,LOWRISK
143,18,15,LOWRISK
144,999,16,LOWRISK
145,991,991,HIGHRISK
146,991,991,HIGHRISK
147,991,991,HIGHRISK
148,991,991,HIGHRISK
149,991,991,HIGHRISK
150,19,19,HIGHRISK
151,991,991,HIGHRISK
152,991,991,HIGHRISK
153,991,991,HIGHRISK
154,17,16,LOWRISK
155,991,991,HIGHRISK
156,991,991,HIGHRISK
157,991,991,HIGHRISK
158,991,991,HIGHRISK
159,991,991,HIGHRISK
160,25,17,LOWRISK
161,15,15,HIGHRISK
162,991,991,HIGHRISK
163,991,991,HIGHRISK
164,991,991,HIGHRISK
165,20,20,HIGHRISK
166,999,14,LOWRISK
167,999,18,LOWRISK
168,991,991,HIGHRISK
169,991,991,HIGHRISK
170,12,12,HIGHRISK
171,991,991,HIGHRISK
172,16,14,LOWRISK
173,13,12,LOWRISK
174,991,991,HIGHRISK
175,999,15,LOWRISK
176,14,13,LOWRISK
177,991,991,HIGHRISK
178,18,18,HIGHRISK
179,19,6,LOWRISK
180,991,991,HIGHRISK
181,17,14,LOWRISK
182,999,14,LOWRISK
183,15,12,LOWRISK
184,991,991,HIGHRISK
185,991,991,HIGHRISK
186,991,991,HIGHRISK
187,991,991,HIGHRISK
188,999,13,LOWRISK
189,15,9,LOWRISK
190,991,991,HIGHRISK
191,991,991,HIGHRISK
192,991,991,HIGHRISK
193,999,15,LOWRISK
194,999,18,LOWRISK
195,999,18,LOWRISK
196,991,991,HIGHRISK
197,999,14,LOWRISK
198,21,12,LOWRISK
199,59,18,LOWRISK
200,991,991,HIGHRISK
201,15,10,LOWRISK
202,991,991,HIGHRISK
203,991,991,HIGHRISK
204,991,991,HIGHRISK
205,991,991,HIGHRISK
206,24,13,LOWRISK
207,991,991,HIGHRISK
208,21,19,LOWRISK
209,991,991,HIGHRISK
210,999,19,LOWRISK
211,16,13,LOWRISK
212,991,991,HIGHRISK
