QUEST ID,BRANDMOSTUSED,30DAYBRAND,BRAND TYPE,,,,
10999578,101,1,Light brand,,,,
15615053,101,1,Light brand,,Row Labels,Sum of 30DAYBRAND,Sum of BRANDMOSTUSED
17737624,101,1,Light brand,,full flavoured,21632,1157884
19020268,101,1,Light brand,,Light brand,4131,815290
19545223,101,1,Light brand,,Medium,3597,244730
23126404,101,1,Light brand,,Ultra light,1306,151816
25123050,101,1,Light brand,,Grand Total,30666,2369720
31929589,101,1,Light brand,,,,
33134767,101,1,Light brand,,,,
34909787,101,1,Light brand,,,,
35613224,101,1,Light brand,,,,
37674476,101,1,Light brand,,,,
39145404,101,1,Light brand,,,,
41575827,101,1,Light brand,,,,
41837720,101,1,Light brand,,,,
41888244,101,1,Light brand,,,,
47504597,101,1,Light brand,,,,
49059388,101,1,Light brand,,,,
53500544,101,1,Light brand,,,,
57247984,101,1,Light brand,,,,
65914033,101,1,Light brand,,,,
67743747,101,1,Light brand,,,,
67865300,101,1,Light brand,,,,
69361450,101,1,Light brand,,,,
75237123,101,1,Light brand,,,,
75412193,101,1,Light brand,,,,
75592689,101,1,Light brand,,,,
75854053,101,1,Light brand,,,,
77684069,101,1,Light brand,,,,
85455705,101,1,Light brand,,,,
85489314,101,1,Light brand,,,,
86043034,101,1,Light brand,,,,
87173813,101,1,Light brand,,,,
87551145,101,1,Light brand,,,,
89704410,101,1,Light brand,,,,
89706640,101,1,Light brand,,,,
89829873,101,1,Light brand,,,,
91241739,101,1,Light brand,,,,
95717194,101,1,Light brand,,,,
99171709,101,1,Light brand,,,,
19369055,101,2,Ultra light,,,,
48879047,101,2,Ultra light,,,,
49563793,101,2,Ultra light,,,,
51777047,101,2,Ultra light,,,,
53801626,101,2,Ultra light,,,,
73848478,101,2,Ultra light,,,,
77838553,101,2,Ultra light,,,,
79939838,101,2,Ultra light,,,,
91041858,101,2,Ultra light,,,,
22530546,101,3,Medium,,,,
30582499,101,3,Medium,,,,
37342533,101,3,Medium,,,,
69150368,101,3,Medium,,,,
71955196,101,3,Medium,,,,
90863700,101,3,Medium,,,,
94582563,101,3,Medium,,,,
95563813,101,3,Medium,,,,
11479340,101,4,full flavoured,,,,
11624078,101,4,full flavoured,,,,
